cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
UgxVv6v3aSPBzYFZ8QR4AaABAg,Bentar lagih Ramadhan,1 bulan yang lalu,Okta Agustiana,UCpWXT5lMzcsCrYTRP-8ki6g,0,https://yt3.ggpht.com/ytc/AGIKgqMbDiMxA8F-l28oqyTO5tL9uR9mzOisaCxGFqUVBA=s176-c-k-c0x00ffffff-no-rj,false,false,1678788803.584116
UgxbipsIjtRR_n1yrZB4AaABAg,"Goblok orang kecapean dijepang bnyk yg gtu tiba2 death.


Lucunya pada percaya.",1 bulan yang lalu,????,UCm90dQCTXkUOZ-0LHoI_LHw,0,https://yt3.ggpht.com/V2U8POs8Y_x1Nh_-U1ZL12TnfQXDdUwKrwo_zcmNBF2GO-Hx1Q3qM0UEc30LU7fYzbyVwS8u=s176-c-k-c0x00ffffff-no-rj,false,false,1678788803.587881
UgwMlemjMO0unAoZBXF4AaABAg,Sekarang gimana ya,1 bulan yang lalu,MAINAN ANAK,UCgzcooTOHocxrxUskd8-96A,0,https://yt3.ggpht.com/TUv0v7f0IkcWzq07cHk5MRWIxUsURhp_dS3VmhEryOE3c0fd9zkdMqYStVkmq2HnL7rRljb5Fw=s176-c-k-c0x00ffffff-no-rj,false,false,1678788803.591122
UgyMIlrrDBJC0eIdRqN4AaABAg,Halo saya dari masa depan,1 bulan yang lalu,Tomi Anak Pungut,UCGK0xvWKU6UKHcSxfKRuPXQ,0,https://yt3.ggpht.com/ytc/AGIKgqN_vd01LiH5La4Y3bP4nnFwDzkY1119k4PT5_CygeE7nBt1mmZxv40OAXBKlL0Q=s176-c-k-c0x00ffffff-no-rj,false,false,1678788803.594762
Ugy-JncrLc6ADUpPjtR4AaABAg,Hemmm,2 bulan yang lalu,Al ya,UC2G5eLdMQrF6wSidHvgQ0ng,0,https://yt3.ggpht.com/ytc/AGIKgqNasL5tpxfia3BaSW9CNvQP7hncqfopO11-bnPcmeXW8hgM2sLSucsaf--noEpp=s176-c-k-c0x00ffffff-no-rj,false,false,1676369603.598166
UgxDZF3gSA8aqy9rOdp4AaABAg,Bosen bangat tribun yg bawa acarnya inimulu,2 bulan yang lalu,Iyan Aprian,UCfYQcmSnhs7fnMZLkYsgFPw,0,https://yt3.ggpht.com/ytc/AGIKgqPuz3WF9lZfcmlvgrFfEGIGb8p7XlbH70BTRwy0vd8gqkrsaHWdYia_0HdDiHiX=s176-c-k-c0x00ffffff-no-rj,false,false,1676369603.601618
UgyndozO4TBgs8Gr4f94AaABAg,"HAHAHA IDIOT2. YG NYEBARIN JAMAN DULU KELIATAN TOLOL NYA 🤣🤣
Gak takut covid sama sekalii 🥳🥳🥳🥳😅",2 bulan yang lalu,Akibat Corona,UCRnm5Z-YrUxJwQJPPmZNv5g,0,https://yt3.ggpht.com/ytc/AGIKgqOp6Xp_E99C1KVzHIhrFAgx_nCPqg315LVETg=s176-c-k-c0x00ffffff-no-rj,false,false,1676369603.604896
UgzAyhmXbWRXDQCY-qB4AaABAg,nyatanya ga sampe gitu terlalu di hiperbola kan,3 bulan yang lalu,Nugraha Bahri,UCxyzBkhj2YPlLLtyr0c_8aQ,1,https://yt3.ggpht.com/ytc/AGIKgqMNYAB_gq0ouHtyi2cXY8f2D6FR9wFtNhpZQjoIIQ=s176-c-k-c0x00ffffff-no-rj,false,false,1673691203.608372
Ugw5DCG9tkeh8-ai1oR4AaABAg,"Sekarang sudah Alhamdulillah 28 November 2022, virus corona sudah jarang menjangkit ke manusia efek vaksin yang sudah ditemukan. Meski tak banyak yg menerapkan protokol.",4 bulan yang lalu,yucub 4,UCGS8ynbO7sn9U3IM5CegmPg,0,https://yt3.ggpht.com/ytc/AGIKgqMNK6oi7P845S5r-kWduWT6Xky7RAR0qK67BZRhBXHRIFlcNTG0xGGw4BoCAHDu=s176-c-k-c0x00ffffff-no-rj,false,false,1671012803.611783
UgzTUM83PK-iItLmbyt4AaABAg,Itu distamper dodol,4 bulan yang lalu,Hendry Mabuk,UCaHHz0jKnTAEYDTof7ongyw,0,https://yt3.ggpht.com/ytc/AGIKgqPeyTGrtKopmWG6k8KwbV_Ouy_SeCEyt-fsxqfFeRwTy5is0_eWB1M3dp6DWZPV=s176-c-k-c0x00ffffff-no-rj,false,false,1671012803.615428
